link,review_text
https://thelowdown.com/reviews/endo/465e36bf-4ffe-411c-a1a9-1757a42dbe65,"I experienced severe nausea , along with diarrhea and horrendous period pain . I had a laparoscopy and was told I had stage 1 endometriosis on the muscles supporting the uterus - for which the most common symptom is bad pain"
https://thelowdown.com/reviews/endo/0cefdd44-20be-4fe0-9fdf-30cae3479c61,"My periods were very heavy and painful right from the start at age 13.  I was put on the pill by my GP aged 17 but not investigated.  This made things manageable regarding bleeding and flooding, although I had all of the other symptoms described and my periods were always 7-10 days long.
Aged 30, the pill just stopped controlling everything and I was bleeding all of the time.  I tried different pills, mirena coil (helped for about 18 months, then a replacement coil had to be removed after 6 weeks due to intense pain), until eventually I stopped everything.  I was in a job where I could manage my own diary and would schedule/re-schedule appointments accordingly but was always told by the medical profession to just 'live with it'.  Eventually, aged 48, I had a hysterectomy and was diagnosed with endometriosis and adenomyosis.  To say I felt let down and angry is an understatement - I finally started my life aged 48."
https://thelowdown.com/reviews/endo/fed1f9cc-72de-4d1d-bb99-32e09b635873,"I've had severe back en stomach pain continuously throughout my life, since the age of 14. Periods started only because I got on the pill at age 17. Periods were extremely painful, felt terribly ill everytime for at least 10 days. Got irritable bowl syndrome, intermittent fever syndrome, extreme back pain. The pain kept me up at night for 8 years. Had to stop working. 

Had surgery 6 months ago: it's a piece of cake compared to the suffering before. The backpain was instantly gone. Had a mass on my uterus and the endometriosis in my uterine bands flipped my uterus, a very painful condition. Endometriose caused adhesions in my lower pelvis. Releasing these adhesions had  major impact on bowl symptoms and abdominal and lower back pain."
https://thelowdown.com/reviews/endo/859fe79e-ed6d-45a2-b1d7-b45e45b0b95d,"After around 4 years of being on naproxen (after trying over the counter pain relief) and being diagnosed with “dysmenorrhea/bad period pains” I asked my GP to refer me a gynaecologist! Alongside the severe pains I was experiencing on and around my period, I also experienced vomiting and fainting episodes. I had previously been diagnosed with IBS but have noticed this seems to be at its worst when I am ovulating.

After being referred to a gynaecologist and having a laparoscopy, stage 1/2 endo was found. Since surgery I had around 6 months of lessened symptoms and then the pain has gradually increased again over time. However, I have noticed my GP now take my symptoms a lot more seriously following my diagnosis and are more keen to keep on top of my chronic pain."
https://thelowdown.com/reviews/endo/66957976-d9ed-4e0c-a9cc-2dc7e0a3419a,"I had ovulation and period pain since I started periods at 14, accompanied by vomiting and diarrhoea, but initially it only started the day before my period and only lasted the first 2-3 days. My symptoms gradually got worse, with the pain starting earlier and earlier, then I started getting severe IBS type symptoms. I later developed pain after sex. In the year before diagnosis, I started getting fevers and severe nausea usually during my period, but sometimes a week or so before or after. Eventually I developed a groin swelling along with the fever, my GP insisted I go to A&E but I was told I'd wait all night so I went home and next day had a private MRI and then laparoscopic diagnosis. In Northern Ireland the waiting lists are very long for endometriosis diagnosis, so I self funded private appointments and surgery. I am currently using the combined pill to stop my cycles to hopefully keep the endometriosis lesions from growing and to control my symptoms. I also avoid alcohol and foods high in saturated fat as ingesting those always flares my pain. I eat a plant based diet as dairy causes constipation which also makes my pain worse, and the additional fibre in a plant based diet also helps with the bowel symptoms."
https://thelowdown.com/reviews/endo/163ca055-c2a5-4ee5-8750-223472b30922,"Ovarian cyst at 21 lead to diagnosis of stage 4 endo. Birth control pill managed my symptoms for years, however, needed hysterectomy this year aged 36 for CIN3 recurring cells. Since surgery and off of birth control have experienced a high level of daily endo related pain."
https://thelowdown.com/reviews/endo/876e0001-d406-443f-a880-329db459eb18,"I was diagnosed during Covid, I was referred to a private hospital via the NHS. It was the first time I was really listened to and felt validated. 
My symptoms became severe in my early 20s and I was diagnosed at 32. 
Endometriosis is not cyclical, it’s every day. I had a coil which stopped by periods but I had pelvic pain every day. I bled every time I had inercourse and I have IBS symptoms. 
I’ve had to have a hysterectomy to stop the constant pain and slow down growth."
https://thelowdown.com/reviews/endo/703772ea-5cb9-4946-9c62-4d06a18b2e88,Very very painful
https://thelowdown.com/reviews/endo/f641b273-b218-42eb-be69-65752e518119,"My periods were regular from the age of 10-16; every three weeks nearly to the day.. When I was 16/17 they became irregular and extremely heavy and painful. I was changing my pad every 1-2 hours and passing large clots. This made me anxious to leave the house on heavy days.  Everyone in my family who has periods have all had problems so I thought it was normal and I didn't know better. Doctors said it was probably stress and put me on the pill. I remained on the pill with no questions until I was 24 which is when I began to suspect something was wrong. 

My pain became worse which included: pelvic pain most of the month, severe bloating, fatigue, nausea, migraines, pain in my back and legs, and pain going to the toilet, especially bowel problems. I fought to have a laparoscopy in April 2019 and was told there was nothing wrong with me when I woke up after the surgery. The gynaecologist who performed the procedure suggested it was a bowel issue and probably IBS. After this, no doctors listened to me even though I was researching every condition I could think of that might be related. I think I saw nearly every GP in the practice, yet not one would refer me back to gynaecology. In 2022, I was fortunate that I was able to see a private gynaecologist who listened to me and agreed that my symptoms were ""textbook"" endometriosis. She performed a laparoscopy with excision and formally diagnosed me. 

It was such a relief to be diagnosed because I knew that I wasn't inventing my symptoms and now I have something concrete to work with. After my my second surgery, I was able to manage most days with minimal pain. I began to make plans again and started to reclaim a social life and hobbies.

However, earlier on this year my pain levels started to increase. I've recently left my retail job as it was too much to stand all day and am currently seeking a remote or hybrid role to manage my health better. People don't like to hear about others' chronic health problems so I don't talk about it much. However, most of my friends and family are supportive. On a good day I barely notice my symptoms, however on a bad day I start thinking of ways in which I can persuade my GP to refer me back to gynae. I didn't plan on having another surgery so soon, so I'm hoping it won't become an issue just yet."
https://thelowdown.com/reviews/endo/5e22947c-7163-4537-bc35-1ec21d250d88,"I lived with extremely painful and heavy periods right from my first one at age 12. The other girls in my class would be sore but I would be in agony, bent double and sobbing in the toilets when a period came. I was basically told I was being dramatic and that every girl has periods, so to just ‘get on with it’. I was on contraception at 13 to try and control the pain. 

I had significant bladder pain and infections starting when I was late teens and had multiple, invasive and painful procedures on my bladder over a number of years as it was thought I may have painful bladder syndrome/interstitial cystitis. I was hospitalised twice in my early 20s with burst ovarian cysts and was told ‘it’s only a 5cm cyst so it shouldn’t be painful. I don’t know what the issue is’. The hospital then forgot to send any information to my GP and when they took blood again at my surgery, I had them calling within 24 hours to put me immediately onto antibiotics as my inflammation markers were sky high. 

I came off contraception when I was 30 to try for a baby. I was bent double in agony at this stage and really struggling to function at all. The pain was constant and not just around my period. I was advised the waiting time for gynaecology was months and I couldn’t stand it anymore, so I paid for a consultation. The consultant was 60-70% sure it was endometriosis. I’d never heard that before and this wasn’t mentioned in any diagnoses previously. I then paid for a surgery as the waiting time was 2 years on the NHS and they found stage 3 endometriosis over my entire pelvic region. 

I had excision surgery a year after this diagnosis and then a year following that a total hysterectomy as the pain wouldn’t go. Thankfully I did manage to conceive prior to that decision, but I will never be able to give that child a sibling as a result. 

Endometriosis ruins lives and it’s not taken seriously enough. The treatments for it are contraception or nothing and now I’m in the menopause, it’s been extremely difficult to access information about this too. Women’s health deserves more attention and I hope that by raising awareness about the signs and symptoms of this debilitating condition, others may get checked out quicker and push for some early support. Living in constant pain is exhausting and it’s easy to feel alone, but no one with this condition is alone. We’re all here with each other, getting by as best we can."
